n,workers,threads,total_cpus,time
28800,1,32,32,3551.338417
28800,1,24,24,4507.108088
28800,1,16,16,6333.761996
28800,1,12,12,8057.854834
28800,5,12,60,9991.077309
28800,5,8,40,10740.372234
28800,1,8,8,12036.291081
28800,1,4,4,23276.038717
28800,1,2,2,54565.019318
28800,30,32,960,418.756005
28800,25,32,800,457.717717
28800,20,32,640,448.590040
28800,30,12,360,1732.768775
28800,30,8,240,1809.890185
28800,25,16,400,989.354925
28800,20,24,480,793.812692
28800,25,12,300,2048.334468
28800,30,4,120,2696.006521
28800,30,2,60,4576.449768
28800,20,16,320,1245.632511
28800,30,1,30,12123.591991
28800,15,32,480,763.943785
28800,25,8,200,2232.382407
28800,20,12,240,2554.114168
28800,25,4,100,2758.035593
28800,15,24,360,850.404710
28800,25,2,50,5453.982801
28800,20,8,160,2729.283741
28800,25,1,25,14593.731032
28800,10,24,240,1202.929334
28800,15,16,240,1182.001397
28800,10,32,320,942.506253
28800,10,12,120,5040.441993
28800,20,2,40,6888.886740
28800,20,1,20,18091.438125
28800,15,12,180,3384.840409
28800,15,8,120,3610.087746
28800,15,4,60,4580.809143
28800,15,2,30,9414.187638
28800,15,1,15,23990.218723
28800,10,8,80,5591.044635
28800,10,4,40,6621.450154
28800,10,2,20,13530.311603
28800,5,32,160,1942.842670
28800,5,4,20,13320.219257
28800,10,1,10,36163.379464
28800,5,24,120,2120.847460
28800,5,16,80,3852.654489
28800,5,2,10,26874.933260
28800,5,1,5,71098.986311
28800,30,16,480,781.850766
28800,30,24,720,589.687731
28800,25,24,600,779.583365
28800,20,4,80,3401.269528
28800,10,16,160,3082.629901
28800,1,1,1,259350.501299
